City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
179,Balabac,PH,2020-06-17 05:12:46,7.99,117.06,303.75,68,89,4.57
180,Marystown,CA,2020-06-17 05:12:46,47.17,-55.15,283.85,72,59,5.9
181,Mareeba,AU,2020-06-17 05:12:46,-17.0,145.43,300.15,65,30,7.7
182,Quatre Cocos,MU,2020-06-17 05:12:46,-20.21,57.76,295.93,78,75,7.2
183,Seoul,KR,2020-06-17 05:10:33,37.57,126.98,303.15,58,75,1.5
184,Kisangani,CD,2020-06-17 05:12:47,0.52,25.2,295.16,85,75,0.54
185,Zhanaozen,KZ,2020-06-17 05:12:47,43.3,52.8,299.05,20,79,8.76
186,Goundam,ML,2020-06-17 05:12:47,16.41,-3.67,304.58,37,9,6.58
187,Port Blair,IN,2020-06-17 05:09:08,11.67,92.75,302.75,75,100,7.47
188,North Platte,US,2020-06-17 05:12:48,41.12,-100.77,301.15,37,1,8.2
189,San Andres,CO,2020-06-17 05:12:48,12.58,-81.7,300.15,94,75,1.0
190,Guangyuan,CN,2020-06-17 05:12:48,32.44,105.82,303.15,50,93,0.45
191,Puerto Ayacucho,VE,2020-06-17 05:12:48,5.66,-67.62,296.15,93,83,0.77
192,Carnarvon,AU,2020-06-17 05:08:46,-24.87,113.63,300.15,57,0,6.7
193,Fayaoue,NC,2020-06-17 05:12:49,-20.65,166.53,297.16,79,11,5.05
194,Bogovarovo,RU,2020-06-17 05:12:49,58.98,47.02,285.42,84,99,3.31
195,Safaga,EG,2020-06-17 05:12:49,26.73,33.94,302.98,32,0,5.27
196,Mao,ES,2020-06-17 05:12:49,39.89,4.27,291.15,82,20,3.1
197,Ouallam,NE,2020-06-17 05:12:50,14.32,2.09,304.64,51,64,7.25
198,Jambusar,IN,2020-06-17 05:12:23,22.05,72.8,302.15,79,40,5.1
199,Graaff-Reinet,ZA,2020-06-17 05:12:50,-32.25,24.53,279.06,61,0,2.33
200,Eyl,SO,2020-06-17 05:12:50,7.98,49.82,302.88,51,100,15.03
201,Shimoda,JP,2020-06-17 05:12:50,34.67,138.95,298.15,53,75,5.1
202,Bilibino,RU,2020-06-17 05:12:50,68.05,166.44,298.06,25,98,0.67
203,Zlobin,HR,2020-06-17 05:12:51,45.29,14.65,291.15,77,20,1.37
204,Sungairaya,ID,2020-06-17 05:12:51,0.7,108.9,303.82,64,17,2.36
205,San Patricio,MX,2020-06-17 05:12:51,19.22,-104.7,299.29,70,38,2.51
206,Sarkand,KZ,2020-06-17 05:12:51,45.41,79.92,298.16,25,93,3.74
207,Kalmunai,LK,2020-06-17 05:12:52,7.42,81.82,305.41,55,87,0.75
208,Airai,TL,2020-06-17 05:12:52,-8.93,125.41,293.88,76,17,3.07
209,Tuktoyaktuk,CA,2020-06-17 05:12:52,69.45,-133.04,287.15,76,75,3.1
210,Clyde River,CA,2020-06-17 05:12:52,70.47,-68.59,275.15,90,90,4.6
211,Lavrentiya,RU,2020-06-17 05:12:52,65.58,-171.0,284.06,56,0,2.05
212,Tougue,GN,2020-06-17 05:12:52,11.47,-11.6,293.37,87,100,4.1
213,Sydney,AU,2020-06-17 05:11:12,-33.87,151.21,290.37,67,75,8.2
214,Hofn,IS,2020-06-17 05:12:53,64.25,-15.21,282.16,74,0,4.45
215,Whitehorse,CA,2020-06-17 05:12:53,60.72,-135.05,282.15,87,75,7.2
216,Nicoya,CR,2020-06-17 05:12:53,10.15,-85.45,298.08,91,100,0.59
217,Taoudenni,ML,2020-06-17 05:12:54,22.68,-3.98,306.28,11,0,4.33
218,Honiara,SB,2020-06-17 05:12:54,-9.43,159.95,304.15,70,75,4.1
219,Bengkulu,ID,2020-06-17 05:12:54,-3.8,102.27,303.37,64,6,2.55
220,Montepuez,MZ,2020-06-17 05:12:54,-13.13,39.0,289.37,78,79,4.99
221,Mantua,IT,2020-06-17 05:12:54,45.17,10.78,292.59,85,93,0.45
222,Port Macquarie,AU,2020-06-17 05:12:34,-31.43,152.92,293.71,63,75,2.6
223,Ciudad Bolivar,VE,2020-06-17 05:12:55,8.12,-63.55,298.47,86,89,1.73
