City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Weather,Rainfall over last hr (inches),Snowfall over last hr (inches)
136,Ileza,RU,61.05,43.9,42.98,82,30,4.56,scattered clouds,0.0,0.0
137,Darnah,LY,32.77,22.64,80.64,38,0,8.61,clear sky,0.0,0.0
138,Kutum,SD,14.2,24.67,77.72,17,0,9.8,clear sky,0.0,0.0
139,Saldanha,ZA,-33.01,17.94,57.2,87,50,4.7,light rain,0.2,0.0
140,Colorado,BR,-22.84,-51.97,75.56,61,0,4.68,clear sky,0.0,0.0
141,Pangody,RU,65.85,74.49,46.76,68,70,7.47,broken clouds,0.0,0.0
142,Easton,US,40.69,-75.22,84.99,51,75,3.36,broken clouds,0.0,0.0
143,Amapa,BR,1.0,-52.0,79.39,93,25,3.91,light rain,0.8,0.0
144,West Bay,KY,19.37,-81.42,91.4,63,20,8.05,few clouds,0.0,0.0
145,Kohlu,PK,29.9,69.25,84.6,32,0,10.71,clear sky,0.0,0.0
146,Puerto Madryn,AR,-42.77,-65.04,56.73,49,3,34.36,clear sky,0.0,0.0
147,Talnakh,RU,69.49,88.4,48.2,81,75,11.18,broken clouds,0.0,0.0
148,Andenes,NO,69.31,16.12,51.8,81,0,4.7,clear sky,0.0,0.0
149,Ancud,CL,-41.87,-73.82,50.0,87,75,1.12,broken clouds,0.0,0.0
150,Tshane,BW,-24.02,21.87,53.64,47,17,7.23,few clouds,0.0,0.0
151,Venado Tuerto,AR,-33.75,-61.97,62.01,60,100,3.0,overcast clouds,0.0,0.0
152,Verona,IT,45.42,11.03,73.4,53,0,3.36,clear sky,0.0,0.0
153,Chuy,UY,-33.7,-53.46,57.97,84,36,8.12,scattered clouds,0.0,0.0
154,Torbay,CA,47.67,-52.73,45.0,100,90,11.41,overcast clouds,0.0,0.0
155,Iqaluit,CA,63.75,-68.51,39.2,80,75,5.82,broken clouds,0.0,0.0
156,De Aar,ZA,-30.65,24.01,48.31,48,6,5.97,clear sky,0.0,0.0
157,Victoria,HK,22.29,114.16,84.0,74,50,8.99,scattered clouds,0.0,0.0
158,Praia Da Vitoria,PT,38.73,-27.07,77.0,61,20,7.99,few clouds,0.0,0.0
159,Sao Joaquim,BR,-28.29,-49.93,61.03,94,1,2.59,clear sky,0.0,0.0
160,Rutigliano,IT,41.01,17.01,72.0,72,0,7.0,clear sky,0.0,0.0
161,Bhasawar,IN,27.03,77.03,93.49,39,2,8.16,clear sky,0.0,0.0
162,Bengkulu,ID,-3.8,102.27,75.63,89,100,4.72,light rain,0.2,0.0
163,Koscierzyna,PL,54.12,17.98,66.99,93,40,5.82,light intensity shower rain,0.0,0.0
164,Margate,GB,51.38,1.39,62.01,72,1,1.99,clear sky,0.0,0.0
165,Krasnoselkup,RU,65.7,82.47,44.76,86,100,13.73,overcast clouds,0.0,0.0
166,Shelburne,CA,44.08,-80.2,87.8,38,40,5.82,scattered clouds,0.0,0.0
167,Klaksvik,FO,62.23,-6.59,51.8,100,47,9.17,scattered clouds,0.0,0.0
168,Ilulissat,GL,69.22,-51.1,46.4,45,5,4.7,clear sky,0.0,0.0
169,Kapoeta,SS,4.77,33.59,74.98,77,16,3.91,moderate rain,1.9,0.0
170,Nantucket,US,41.28,-70.1,77.0,77,1,12.75,clear sky,0.0,0.0
171,Dakar,SN,14.69,-17.44,80.6,78,0,4.7,clear sky,0.0,0.0
172,Upernavik,GL,72.79,-56.15,41.2,74,0,4.99,clear sky,0.0,0.0
173,Longyearbyen,SJ,78.22,15.64,39.2,86,75,17.22,broken clouds,0.0,0.0
174,Rio Grande,BR,-32.03,-52.1,64.4,93,90,3.36,light intensity drizzle,0.0,0.0
175,Sao Filipe,CV,14.9,-24.5,75.11,80,20,8.21,few clouds,0.0,0.0
176,Brewster,US,41.4,-73.62,87.01,48,20,8.05,few clouds,0.0,0.0
177,Vestmannaeyjar,IS,63.44,-20.27,51.8,87,75,26.4,broken clouds,0.0,0.0
178,Chilca,PE,-12.52,-76.74,66.2,72,90,5.82,overcast clouds,0.0,0.0
179,Stepnogorsk,KZ,52.35,71.89,53.98,49,86,15.55,overcast clouds,0.0,0.0
180,Kashi,CN,39.45,75.98,77.0,5,69,13.42,broken clouds,0.0,0.0
181,Matara,LK,5.95,80.54,80.96,84,100,12.64,overcast clouds,0.0,0.0
182,Asyut,EG,27.18,31.18,84.2,35,0,12.75,clear sky,0.0,0.0
183,Huarmey,PE,-10.07,-78.15,68.09,68,10,9.69,clear sky,0.0,0.0
184,Carballo,ES,43.21,-8.69,66.0,70,100,5.99,overcast clouds,0.0,0.0
185,Madinat Sittah Uktubar,EG,29.82,31.05,80.6,51,0,8.05,clear sky,0.0,0.0
186,Abu Dhabi,AE,24.47,54.37,89.6,70,0,3.36,clear sky,0.0,0.0
187,Ostrovnoy,RU,68.05,39.51,42.44,80,93,10.11,overcast clouds,0.0,0.0
188,Bacalar,MX,18.67,-88.38,89.6,66,75,11.41,broken clouds,0.0,0.0
189,Sumbe,AO,-11.21,13.84,71.53,85,0,5.93,clear sky,0.0,0.0
190,Dwarka,IN,22.24,68.97,86.2,76,50,17.49,light rain,0.5,0.0
191,Trincomalee,LK,8.57,81.23,83.19,75,100,20.51,overcast clouds,0.0,0.0
192,Taoudenni,ML,22.68,-3.98,104.54,8,34,5.64,scattered clouds,0.0,0.0
193,Sabzevar,IR,36.21,57.68,85.95,13,8,20.38,clear sky,0.0,0.0
194,Feijo,BR,-8.16,-70.35,82.17,78,100,1.23,light rain,0.6,0.0
195,Manaure,CO,11.78,-72.44,96.8,56,75,17.22,broken clouds,0.0,0.0
196,Monrovia,LR,6.3,-10.8,78.8,94,20,3.36,few clouds,0.0,0.0
197,Goderich,CA,43.75,-81.72,84.0,54,100,6.24,overcast clouds,0.0,0.0
198,Price,US,39.6,-110.81,80.6,14,1,5.82,clear sky,0.0,0.0
199,Monster,NL,52.03,4.17,64.99,73,9,1.68,clear sky,0.0,0.0
200,Lichtenburg,ZA,-26.15,26.16,47.41,52,0,4.29,clear sky,0.0,0.0
201,Dunmore Town,BS,25.5,-76.65,81.61,76,100,4.14,overcast clouds,0.0,0.0
202,Calceta,EC,-0.85,-80.17,82.4,74,20,10.29,few clouds,0.0,0.0
203,Bam,IR,29.11,58.36,92.48,13,56,1.54,broken clouds,0.0,0.0
204,Rawson,AR,-43.3,-65.1,58.59,43,49,28.16,scattered clouds,0.0,0.0
205,Necochea,AR,-38.55,-58.74,50.0,86,100,1.99,overcast clouds,0.0,0.0
206,Tigre,AR,-34.43,-58.58,60.8,72,40,10.29,scattered clouds,0.0,0.0
207,Voskevan,AM,41.12,45.07,71.6,60,40,28.86,scattered clouds,0.0,0.0
208,Casablanca,MA,33.59,-7.62,71.6,73,0,12.75,clear sky,0.0,0.0
209,Bilma,NE,18.69,12.92,92.59,11,82,10.42,broken clouds,0.0,0.0
210,Pangnirtung,CA,66.15,-65.71,37.4,93,20,11.41,few clouds,0.0,0.0
211,Nioro,GM,13.35,-15.75,87.71,59,46,11.97,light rain,0.2,0.0
212,Saint-Georges,GD,12.06,-61.75,86.0,79,40,16.11,scattered clouds,0.0,0.0
213,Ponta Delgada,PT,37.73,-25.67,68.0,77,20,12.75,few clouds,0.0,0.0
214,Le Vauclin,MQ,14.55,-60.84,86.0,74,75,18.34,broken clouds,0.0,0.0
215,Maniitsoq,GL,65.42,-52.9,40.75,82,100,19.01,overcast clouds,0.0,0.0
216,Inta,RU,66.03,60.17,45.3,95,100,11.05,light rain,0.7,0.0
217,Lagoa,PT,39.05,-27.98,65.66,91,0,17.98,clear sky,0.0,0.0
218,Dingle,PH,11.0,122.67,77.77,78,7,4.88,clear sky,0.0,0.0
219,Husavik,IS,66.04,-17.34,60.8,67,20,16.11,few clouds,0.0,0.0
220,Nimaparha,IN,20.07,86.02,82.4,94,75,6.93,haze,0.0,0.0
221,Lokoja,NG,7.8,6.74,80.37,76,77,2.44,broken clouds,0.0,0.0
222,Lagdo,CM,9.05,13.73,84.2,74,20,3.36,thunderstorm,0.0,0.0
223,Los Andes,CL,-32.83,-70.6,54.0,99,100,1.92,overcast clouds,0.0,0.0
224,Pauini,BR,-7.71,-66.98,89.13,53,5,3.6,clear sky,0.0,0.0
225,San Lawrenz,MT,36.06,14.2,73.0,68,0,21.92,clear sky,0.0,0.0
226,Colchester,GB,51.89,0.9,66.0,76,0,10.45,clear sky,0.0,0.0
227,Tome,CL,-36.62,-72.95,55.4,93,90,13.87,moderate rain,0.0,0.0
228,Marsh Harbour,BS,26.54,-77.06,82.0,75,78,5.06,broken clouds,0.0,0.0
229,Zyryanovsk,KZ,49.74,84.27,40.93,88,4,3.11,clear sky,0.0,0.0
230,Sakakah,SA,29.97,40.21,84.2,23,0,11.41,clear sky,0.0,0.0
231,Alpena,US,45.06,-83.43,82.4,58,90,11.41,overcast clouds,0.0,0.0
232,Mogwase,ZA,-25.18,27.27,52.2,43,0,3.98,clear sky,0.0,0.0
233,Bandar-E Lengeh,IR,26.56,54.88,88.38,73,0,4.97,clear sky,0.0,0.0
234,Sarandi,BR,-23.44,-51.87,72.37,69,0,5.19,clear sky,0.0,0.0
235,Kosh-Agach,RU,50.0,88.67,46.63,72,88,5.19,overcast clouds,0.0,0.0
236,Touros,BR,-5.2,-35.46,78.8,78,40,11.41,scattered clouds,0.0,0.0
237,Hvide Sande,DK,56.0,8.13,62.01,80,94,1.99,overcast clouds,0.0,0.0
238,Korla,CN,41.76,86.15,74.32,23,4,15.12,clear sky,0.0,0.0
239,Paita,PE,-5.09,-81.11,75.2,64,0,14.99,clear sky,0.0,0.0
240,Puerto Narino,CO,-3.77,-70.38,89.6,70,40,5.82,scattered clouds,0.0,0.0
241,Goundam,ML,16.41,-3.67,97.86,26,81,7.2,broken clouds,0.0,0.0
242,Praia,CV,14.92,-23.51,78.8,65,20,19.46,few clouds,0.0,0.0
243,Loubomo,CG,-4.2,12.67,70.5,91,19,4.79,few clouds,0.0,0.0
244,Huambo,AO,-12.78,15.74,53.89,42,0,2.89,clear sky,0.0,0.0
245,Nouadhibou,MR,20.93,-17.03,73.4,69,25,11.41,dust,0.0,0.0
246,Castro,BR,-24.79,-50.01,66.69,73,0,5.17,clear sky,0.0,0.0
247,Kamyzyak,RU,46.11,48.07,78.8,50,91,4.47,overcast clouds,0.0,0.0
248,Caconda,AO,-13.73,15.07,53.22,43,0,1.32,clear sky,0.0,0.0
249,Kargat,RU,55.2,80.28,40.86,87,0,4.88,clear sky,0.0,0.0
250,Owando,CG,-0.48,15.9,75.97,62,100,1.45,overcast clouds,0.0,0.0
251,Alta Floresta,BR,-9.88,-56.09,93.2,34,20,6.93,few clouds,0.0,0.0
252,Martigny,CH,46.08,7.08,73.4,52,81,2.24,broken clouds,0.0,0.0
253,Marovoay,MG,-16.1,46.63,73.4,78,40,6.93,scattered clouds,0.0,0.0
254,Bud,US,39.45,-86.18,89.6,38,1,4.7,clear sky,0.0,0.0
255,Santa Cruz,BO,-17.8,-63.17,86.0,58,40,18.34,scattered clouds,0.0,0.0
256,Lagos,NG,6.58,3.75,73.4,100,75,3.36,thunderstorm with light rain,0.0,0.0
257,Baghdad,IQ,33.34,44.4,89.6,27,0,6.93,clear sky,0.0,0.0
258,Gobabis,NA,-22.45,18.97,50.0,46,47,2.24,scattered clouds,0.0,0.0
259,Sukhobezvodnoye,RU,57.05,44.89,52.11,74,1,8.81,clear sky,0.0,0.0
260,Marquette,US,46.53,-87.63,59.0,90,100,1.01,overcast clouds,0.0,0.0
261,Abonnema,NG,4.71,6.79,77.0,94,75,3.36,thunderstorm with light rain,0.0,0.0
262,Sechura,PE,-5.56,-80.82,76.17,55,1,15.08,clear sky,0.0,0.0
263,Marawi,PH,8.0,124.29,77.0,92,99,5.99,overcast clouds,0.0,0.0
264,Beloha,MG,-25.17,45.05,64.63,75,14,5.86,few clouds,0.0,0.0
265,Uyuni,BO,-20.46,-66.83,55.92,29,0,7.43,clear sky,0.0,0.0
266,Izazi,TZ,-7.2,35.73,64.4,59,92,11.41,overcast clouds,0.0,0.0
267,Baixa Grande,BR,-11.96,-40.17,74.05,69,37,9.91,scattered clouds,0.0,0.0
268,Constitucion,CL,-35.33,-72.42,55.24,89,100,22.1,moderate rain,1.6,0.0
269,Gat,IL,31.61,34.76,73.99,93,1,8.99,clear sky,0.0,0.0
270,Aquiraz,BR,-3.9,-38.39,86.0,62,40,16.11,scattered clouds,0.0,0.0
271,Nanortalik,GL,60.14,-45.24,41.22,73,100,8.99,overcast clouds,0.0,0.0
272,Laguna,US,38.42,-121.42,84.0,42,1,8.05,clear sky,0.0,0.0
273,La Rosa,HN,15.35,-87.07,89.6,70,20,12.75,few clouds,0.0,0.0
274,Traverse City,US,44.76,-85.62,78.8,61,90,10.29,overcast clouds,0.0,0.0
275,Copiapo,CL,-27.37,-70.33,64.4,63,0,9.17,clear sky,0.0,0.0
276,Spring Hill,US,28.48,-82.53,91.4,46,1,11.41,clear sky,0.0,0.0
277,Annau,TM,37.89,58.52,91.4,11,75,20.8,broken clouds,0.0,0.0
278,Endicott,US,42.1,-76.05,82.0,54,20,4.7,few clouds,0.0,0.0
279,Sambava,MG,-14.27,50.17,74.68,90,99,14.72,moderate rain,1.2,0.0
280,Cordele,US,31.96,-83.78,87.8,45,90,4.7,haze,0.0,0.0
281,Kalabo,ZM,-14.97,22.68,56.66,39,0,5.23,clear sky,0.0,0.0
282,Mogadishu,SO,2.04,45.34,78.44,80,0,21.65,clear sky,0.0,0.0
283,Ijsselstein,NL,52.02,5.03,64.99,71,0,3.89,clear sky,0.0,0.0
284,Hit,IQ,33.64,42.83,84.09,28,0,10.29,clear sky,0.0,0.0
285,Wamba,NG,8.93,8.6,75.58,82,41,1.3,light rain,0.4,0.0
286,Castelldefels,ES,41.28,1.97,73.0,88,20,9.17,few clouds,0.0,0.0
287,Malanville,BJ,11.87,3.39,89.2,44,3,8.79,clear sky,0.0,0.0
288,Puerto Del Rosario,ES,28.5,-13.86,73.4,73,20,18.34,few clouds,0.0,0.0
289,Kang,BW,-23.68,22.79,51.96,48,0,5.1,clear sky,0.0,0.0
290,Batticaloa,LK,7.71,81.69,82.45,75,100,7.0,overcast clouds,0.0,0.0
291,Conde,BR,-7.26,-34.91,78.8,83,75,12.75,broken clouds,0.0,0.0
292,Carnarvon,AU,-24.87,113.63,59.0,100,0,4.7,clear sky,0.0,0.0
293,Sisimiut,GL,66.94,-53.67,46.69,59,57,14.2,broken clouds,0.0,0.0
294,Mana,GF,5.66,-53.78,80.71,84,99,9.64,light rain,0.3,0.0
295,Mastic Beach,US,40.77,-72.85,82.0,57,1,12.75,clear sky,0.0,0.0
296,Bangassou,CF,4.74,22.82,71.17,89,100,1.79,overcast clouds,0.0,0.0
